L100, D100
1.69142e-06, 0.000271588
5.82375e-05, -5.14819e-05
-0.000116994, -3.09046e-05
5.27654e-05, 6.0116e-05
-0.000269405, 0.000231771
-3.80784e-05, 8.5592e-05
2.10837e-05, 0.000265088
0.000107072, -0.000221318
-0.00015798, -3.36687e-05
-0.000164391, 6.55505e-06
-0.000902111, -0.000112094
-7.49302e-05, 7.56761e-05
-0.000744079, 0.000307206
-6.04701e-05, -1.97162e-05
-0.000848835, -3.4478e-06
-1.52493e-05, 0.000203879
-0.000159039, 0.000145612
-6.54843e-05, 5.5619e-05
-2.45045e-06, -0.000122126
0.000194202, 0.000134559
-0.000180256, 0.000106629
-0.000321997, 6.74934e-05
-1.07817e-05, -0.000175263
-0.000153064, 0.000241646
-0.000285788, -3.79475e-05
-8.06285e-05, 0.000344224
-0.000121382, 0.000116478
-8.7633e-06, 8.52971e-05
-0.000658347, 0.000280951
-0.00100068, 6.68227e-05
-1.05144e-05, 9.16855e-05
-8.58306e-05, -0.000251533
-0.000721855, -6.71572e-05
-0.00103956, 0.000200774
1.53749e-05, -0.000231491
5.56241e-06, -3.75545e-05
-6.69174e-05, -1.23594e-05
-0.00101115, -0.000151775
-0.000980255, -7.80747e-05
-0.000543608, -2.79938e-05
-0.000381787, -4.24382e-05
-0.000340676, 1.42753e-05
7.95502e-06, 0.000137354
-0.00101065, -2.46977e-05
-0.000235068, 0.000170092
-0.000324724, 1.68746e-05
0.00024306, 0.000150473
-0.000937921, 0.000162787
9.93191e-05, -6.39684e-05
-0.000292644, 0.000167454
-1.40735e-05, -0.000178481
-0.000222217, -0.000242887
-0.000125847, 2.54291e-05
-0.000253433, 2.78577e-05
6.78274e-05, -0.000144104
-3.09672e-05, -0.000183056
0.000155073, -8.08635e-05
-0.00097476, 0.000104675
-0.00093957, 0.000133141
-0.000277057, 0.000194279
-6.76647e-05, -4.63171e-05
7.00594e-07, 5.04061e-05
-0.000911891, 0.00011703
-4.5963e-05, 0.000193044
-0.000174946, -3.88506e-05
-0.000952728, -1.35707e-05
-2.13798e-05, -4.48165e-05
-0.000340783, 4.72076e-05
-0.000954255, 0.000273132
-6.67575e-05, 0.000196041
-0.000880849, -0.000262443
-0.000334753, 5.15178e-05
3.40206e-06, -3.61417e-05
-7.93911e-06, -3.19702e-05
4.23353e-05, 0.00024437
-0.000473182, 4.22452e-06
-8.23677e-05, 0.000236452
-2.63151e-06, -0.000230475
-0.000950896, 0.000201047
-0.00092794, -6.43077e-05
-0.000985676, 0.000172945
2.55189e-05, -2.59048e-05
-0.000335475, 0.000127195
9.22207e-05, 0.000101045
4.50508e-05, 0.000230612
-0.000888249, -0.000297608
5.50066e-05, -0.000145086
-0.000103765, 0.00010673
-7.7093e-05, -0.000389117
-9.28958e-05, 0.00027072
-8.2277e-05, -8.94057e-06
-0.000410298, 3.18621e-05
-0.000110616, -7.29374e-05
-0.000393169, 1.63602e-05
-0.000482486, 0.00018925
-0.000892921, 0.000102472
-0.000105615, 6.35425e-05
-0.000358811, 1.79449e-05
-0.000147038, -2.52621e-06
-2.15637e-05, 0.000281265
-0.000479935, -6.12824e-05
-0.000216986, 4.70299e-06
-6.78573e-05, -4.74138e-05
-6.41702e-05, 9.74403e-05
8.85962e-07, -0.000254675
-4.01019e-05, -7.12084e-05
-0.000961194, -0.000246011
4.73448e-06, -0.000455815
-0.000942821, -0.00016063
-0.000134265, -0.000308143
-0.000274157, 0.000116235
0.000115983, -5.17564e-05
-4.22231e-05, -0.000315165
-0.000331074, 3.74784e-05
-8.54588e-05, 8.32172e-05
-0.000100337, -0.00036108
-8.29908e-06, 0.000319779
-5.67834e-05, -0.000107972
-0.000895369, -0.000498429
-0.00104242, 5.73256e-06
-2.38509e-05, 0.000228558
-3.42109e-05, -5.87099e-05
-0.000165596, -0.000235464
-0.000863996, -0.000247084
0.000273072, -0.000208339
-3.44385e-05, -1.67968e-05
-0.000349087, 0.000136339
-0.000694999, 0.000298389
-0.000111165, -2.37828e-05
-0.000186666, -2.33655e-05
-0.000452109, -0.000217789
-0.000997453, -6.21166e-05
-0.000125605, -0.000289071
-0.000797983, -1.4554e-05
-0.000288393, -0.000213254
5.9362e-05, 0.000223368
3.83043e-05, -0.000342959
-0.000581788, 0.000213085
-0.00101994, 0.000244695
0.000166787, 0.00010983
-2.09874e-05, -0.000105388
-0.000975493, 0.000207924
-9.56437e-05, -8.30521e-06
-0.000145529, 8.35922e-05
-0.000982833, 0.000423129
-0.000140919, -0.000252647
-0.00102468, -0.000104836
0.000162818, 0.000151149
-0.000994333, 0.000199465
-6.36922e-05, -2.97422e-05
-0.000148507, 0.000209372
